x(m), y(m), heading(deg)
48.116, 19.964, 116.17
48.072, 20.055, 117.33
48.025, 20.144, 118.48
47.977, 20.233, 119.64
47.927, 20.321, 120.80
47.875, 20.408, 121.96
47.822, 20.494, 123.12
47.767, 20.578, 124.28
47.710, 20.662, 125.43
47.651, 20.744, 126.59
47.591, 20.825, 127.75
47.529, 20.905, 128.91
47.466, 20.984, 130.07
47.400, 21.061, 131.22
47.334, 21.137, 132.38
47.266, 21.212, 133.54
47.196, 21.285, 134.70
47.125, 21.357, 135.86
47.052, 21.427, 137.02
46.979, 21.496, 138.17
46.903, 21.564, 139.33
46.827, 21.630, 140.49
46.749, 21.694, 141.65
46.669, 21.757, 142.81
46.589, 21.818, 143.97
46.507, 21.877, 145.12
46.424, 21.935, 146.28
46.340, 21.991, 147.44
46.255, 22.045, 148.60
46.169, 22.098, 149.76
46.081, 22.149, 150.92
45.993, 22.198, 152.07
45.904, 22.246, 153.23
45.813, 22.291, 154.39
45.722, 22.335, 155.55
45.630, 22.377, 156.71
45.537, 22.417, 157.86
45.444, 22.455, 159.02
45.349, 22.491, 160.18
45.254, 22.525, 161.34
45.159, 22.557, 162.50
45.062, 22.588, 163.66
44.965, 22.616, 164.81
44.868, 22.643, 165.97
44.770, 22.667, 167.13
44.671, 22.690, 168.29
44.572, 22.710, 169.45
44.473, 22.729, 170.61
44.373, 22.745, 171.76
44.273, 22.760, 172.92
44.173, 22.772, 174.08
44.072, 22.783, 175.24
43.971, 22.791, 176.40
43.871, 22.797, 177.55
43.770, 22.802, 178.71
43.668, 22.804, 179.87
43.567, 22.804, -178.97
43.466, 22.802, -177.81
43.365, 22.798, -176.65
43.264, 22.793, -175.50
43.164, 22.785, -174.34
43.063, 22.775, -173.18
42.963, 22.763, -172.02
42.863, 22.749, -170.86
42.763, 22.733, -169.70
42.663, 22.715, -168.55
42.564, 22.694, -167.39
42.466, 22.672, -166.23
42.368, 22.648, -165.07
42.270, 22.622, -163.91
42.173, 22.594, -162.75
42.076, 22.564, -161.60
41.980, 22.532, -160.44
41.885, 22.499, -159.28
41.791, 22.463, -158.12
41.697, 22.425, -156.96
